Jugendfeuerwehr,Ort,Gemeinde
JF Amelinghausen,Amelinghausen,Amelinghausen
JF Drögenindorf,Drögenindorf,Amelinghausen
JF Oldendorf/Luhe,Oldendorf/Luhe,Amelinghausen
JF Rehlingen,Rehlingen,Amelinghausen
JF Soderstorf,Soderstorf,Amelinghausen
JF Wetzen,Wetzen,Amelinghausen
JF Barnstedt,Barnstedt,Ilmenau
JF Deutsch Evern,Deutsch Evern,Ilmenau
JF Embsen,Embsen,Ilmenau
JF Melbeck,Melbeck,Ilmenau
JF Oerzen,Oerzen,Ilmenau
JF Adendorf,Adendorf,Adendorf
JF Erbstorf,Erbstorf,Adendorf
JF Dellien,Dellien,Amt Neuhaus
JF Haar,Haar,Amt Neuhaus
JF Kaarßen-Laave,Kaarßen-Laave,Amt Neuhaus
JF Neu-Garge/Stiepelse,Neu-Garge/Stiepelse,Amt Neuhaus
JF Neuhaus,Neuhaus,Amt Neuhaus
JF Niendorf,Niendorf,Amt Neuhaus
JF Stapel,Stapel,Amt Neuhaus
JF Tripkau-Wehningen,Tripkau-Wehningen,Amt Neuhaus
JF Zeetze,Zeetze,Amt Neuhaus
JF Bardowick,Bardowick,Bardowick
JF Gemeinde Barum,Gemeinde Barum,Bardowick
JF Handorf,Handorf,Bardowick
JF Mechtersen,Mechtersen,Bardowick
JF Radbruch,Radbruch,Bardowick
JF Vögelsen,Vögelsen,Bardowick
JF Wittorf,Wittorf,Bardowick
JF Barskamp,Barskamp,Bleckede
JF Bleckede,Bleckede,Bleckede
JF Garlstorf,Garlstorf,Bleckede
JF Garze,Garze,Bleckede
JF Radegast-Brackede,Radegast-Brackede,Bleckede
JF Walmsburg,Walmsburg,Bleckede
JF Wendewisch,Wendewisch,Bleckede
JF Dahlenburg   ,Dahlenburg   ,Dahlenburg   
JF Gienau/Seedorf  ,Gienau/Seedorf  ,Dahlenburg   
JF Gem. Nahrendorf ,Gem. Nahrendorf ,Dahlenburg   
JF Lemgrabe-Dumstorf   ,Lemgrabe-Dumstorf   ,Dahlenburg   
JF Tosterglope ,Tosterglope ,Dahlenburg   
JF Kirchgellersen  ,Kirchgellersen  ,Gellersen
JF Reppenstedt,Reppenstedt,Gellersen
JF Südergellersen,Südergellersen,Gellersen
JF Westergellersen,Westergellersen,Gellersen
JF Lüneburg-Häcklingen,Lüneburg-Häcklingen,Lüneburg
JF Lüneburg-Mitte,Lüneburg-Mitte,Lüneburg
JF Lüneburg-Ochtmissen,Lüneburg-Ochtmissen,Lüneburg
JF Lüneburg-Oedeme,Lüneburg-Oedeme,Lüneburg
JF Lüneburg-Rettmer,Lüneburg-Rettmer,Lüneburg
JF Artlenburg,Artlenburg,Scharnebeck
JF Ba/Hi/Jü,Ba/Hi/Jü,Scharnebeck
JF Boltersen,Boltersen,Scharnebeck
JF Brietlingen,Brietlingen,Scharnebeck
JF Echem,Echem,Scharnebeck
JF Hohnstorf,Hohnstorf,Scharnebeck
JF Lüdershausen,Lüdershausen,Scharnebeck
JF Rullstorf,Rullstorf,Scharnebeck
JF Scharnebeck,Scharnebeck,Scharnebeck
JF Barendorf,Barendorf,Ostheide
JF Gemeinde Thomasburg,Gemeinde Thomasburg,Ostheide
JF Neetze,Neetze,Ostheide
JF Vastorf,Vastorf,Ostheide
JF Wendhausen,Wendhausen,Ostheide
JF Wendisch Evern,Wendisch Evern,Ostheide
